country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Malaysia,Johor,0,1911473,1911473,1911473,102272,44322,35675,13598,40918,44358,36673,39359,18537,46709,28309,57793,39252,26175,53236,34147,49902,48275,36169,34891,26645,26005,19828,35053,27977
Malaysia,Johor,10,1911473,1625629,1586881,102272,43973,35499,13531,40725,44161,36567,39256,18497,46613,28267,57677,38905,25151,50298,32143,45790,44685,33208,30975,23078,21931,16246,25713,20087
Malaysia,Johor,15,1911473,1614664,1573559,102272,43897,35464,13514,40692,44120,36546,39238,18489,46596,28259,57661,38872,25099,50141,32036,45546,44477,33055,30783,22914,21749,16091,25378,19821
Malaysia,Johor,20,1911473,1606535,1561871,102272,43815,35415,13498,40638,44066,36523,39217,18480,46579,28254,57643,38845,25052,50004,31936,45366,44313,32927,30624,22781,21608,15961,25079,19555
Malaysia,Johor,25,1911473,1601959,1552429,102272,43767,35393,13490,40614,44040,36513,39208,18476,46571,28251,57635,38831,25031,49936,31885,45264,44231,32857,30555,22710,21538,15892,24929,19451
Malaysia,Johor,30,1911473,1593778,1543597,102272,43703,35359,13478,40586,44010,36498,39197,18470,46559,28245,57621,38805,24984,49796,31797,45063,44064,32738,30412,22593,21403,15783,24701,19268
Malaysia,Johor,50,1911473,1551377,1482090,102272,43128,35039,13350,40227,43622,36295,39007,18388,46381,28168,57465,38613,24700,49043,31298,44048,43182,32029,29637,21990,20730,15220,23550,18360
Malaysia,Johor,75,1911473,1391679,1328105,102272,40236,32925,12394,37404,40768,34664,37469,17690,44838,27475,56247,37492,23305,45452,28856,39432,39189,28857,26242,19175,17524,12578,18877,14382
Malaysia,Kedah,0,951775,951775,951775,44641,3811,10088,4519,7257,7734,8267,6110,9966,8346,13112,7761,9264,8125,17542,14438,16312,17850,16521,13925,11505,10208,7959,11274,11991
Malaysia,Kedah,10,951775,693900,659957,44641,3672,9982,4488,7175,7642,8227,6087,9919,8305,13084,7710,8964,7442,15920,13570,15151,16286,14309,12061,9063,7744,5902,7817,7472
Malaysia,Kedah,15,951775,687899,653378,44641,3652,9959,4480,7159,7621,8218,6083,9912,8295,13076,7704,8950,7406,15826,13525,15073,16215,14201,11949,8951,7637,5810,7666,7294
Malaysia,Kedah,20,951775,683615,649563,44641,3623,9921,4466,7129,7591,8206,6076,9899,8286,13068,7700,8938,7379,15758,13473,15007,16147,14103,11854,8860,7546,5731,7539,7089
Malaysia,Kedah,25,951775,681319,643884,44641,3611,9909,4463,7118,7582,8202,6072,9895,8283,13066,7698,8934,7367,15729,13456,14982,16124,14069,11819,8823,7514,5703,7495,7038
Malaysia,Kedah,30,951775,676020,640742,44641,3600,9894,4456,7109,7570,8194,6069,9889,8278,13061,7693,8921,7336,15645,13412,14906,16052,13980,11720,8725,7429,5633,7387,6900
Malaysia,Kedah,50,951775,653727,617838,44641,3439,9626,4367,6922,7407,8103,6007,9805,8189,13006,7655,8846,7183,15284,13203,14583,15727,13596,11289,8294,7048,5303,6896,6244
Malaysia,Kedah,75,951775,581658,554981,44641,2502,7520,3386,5622,6095,6893,5407,8819,7225,12199,7393,8447,6472,13722,12076,13120,14235,11808,9475,6820,5614,4254,5328,4700
Malaysia,Kelantan,0,1513200,1513200,1513200,23028,10853,9244,5633,13945,12647,11472,25263,12802,33267,30715,22899,35473,17131,40487,25632,28320,21163,24056,28088,16407,19278,17570,24277,24420
Malaysia,Kelantan,10,1513200,1361089,1278720,23028,10654,9168,5601,13857,12576,11430,25179,12765,33160,30650,22874,35247,16668,38952,24582,27344,20711,23583,27132,15859,18639,16990,22648,20240
Malaysia,Kelantan,15,1513200,1355449,1271123,23028,10622,9153,5592,13839,12559,11422,25165,12758,33151,30639,22870,35226,16644,38877,24535,27291,20675,23544,27075,15821,18600,16957,22573,20066
Malaysia,Kelantan,20,1513200,1351759,1266487,23028,10595,9139,5586,13826,12544,11415,25150,12754,33135,30630,22865,35210,16624,38821,24496,27252,20649,23521,27036,15796,18567,16932,22505,19950
Malaysia,Kelantan,25,1513200,1349445,1261934,23028,10581,9133,5582,13819,12537,11413,25144,12750,33131,30623,22864,35203,16615,38787,24476,27228,20638,23507,27018,15784,18552,16919,22478,19890
Malaysia,Kelantan,30,1513200,1344069,1257073,23028,10558,9120,5576,13804,12530,11407,25134,12747,33123,30615,22860,35190,16594,38715,24417,27174,20604,23472,26952,15748,18512,16884,22406,19725
Malaysia,Kelantan,50,1513200,1325411,1229243,23028,10398,9017,5527,13690,12426,11348,25002,12697,33002,30518,22825,35087,16492,38394,24197,26944,20474,23329,26732,15604,18343,16761,22137,19176
Malaysia,Kelantan,75,1513200,1256208,1159115,23028,9657,8494,5241,13037,11813,10884,23948,12255,31930,29687,22492,34402,15698,36484,22745,25319,19645,22446,25463,14750,17427,15998,20945,17336
Malaysia,Kuala Lumpur,0,27199,27199,27199,863,40,127,51,192,89,81,59,51,78,81,34,62,5,116,87,126,150,99,49,23,42,22,32,30
Malaysia,Kuala Lumpur,10,27199,6861,5199,863,38,122,50,178,84,79,58,50,77,80,34,55,2,61,38,55,112,68,30,12,18,10,14,17
Malaysia,Kuala Lumpur,15,27199,5686,4643,863,38,121,49,175,83,78,58,50,77,79,34,54,2,60,35,51,109,65,30,12,17,9,13,16
Malaysia,Kuala Lumpur,20,27199,5485,4556,863,37,120,49,173,82,78,57,50,76,79,34,54,2,58,34,49,107,64,30,12,16,8,13,16
Malaysia,Kuala Lumpur,25,27199,5110,4403,863,37,119,48,171,82,77,57,49,76,78,34,54,2,57,33,46,106,63,30,12,15,8,12,16
Malaysia,Kuala Lumpur,30,27199,4827,4101,863,36,119,48,170,81,77,57,49,76,78,34,53,2,55,31,43,103,62,29,11,15,8,12,15
Malaysia,Kuala Lumpur,50,27199,3915,3071,863,31,106,44,144,71,71,52,49,73,75,33,48,1,49,27,32,92,57,26,10,12,6,10,14
Malaysia,Kuala Lumpur,75,27199,2446,1493,863,15,61,29,70,40,45,34,43,60,61,28,36,1,25,14,17,52,43,18,6,8,2,5,9
Malaysia,Labuan,0,9066,9066,9066,188,25,24,18,11,27,23,42,40,37,27,55,122,21,104,119,194,64,43,36,55,39,54,60,37
Malaysia,Labuan,10,9066,4730,4401,188,24,23,18,11,27,22,41,39,37,26,55,120,19,77,87,133,43,31,25,38,31,40,41,22
Malaysia,Labuan,15,9066,4599,4289,188,24,23,18,11,27,22,41,39,37,26,55,120,18,75,84,129,40,30,24,37,30,40,40,22
Malaysia,Labuan,20,9066,4527,4270,188,24,23,18,11,27,22,41,39,37,26,55,120,18,74,83,126,39,29,23,36,30,39,39,21
Malaysia,Labuan,25,9066,4480,4235,188,24,23,18,11,27,22,41,39,37,26,55,120,18,73,82,125,39,29,23,35,30,39,39,21
Malaysia,Labuan,30,9066,4323,4163,188,24,23,18,11,27,22,41,39,37,26,55,119,17,71,79,120,37,28,22,33,29,38,36,19
Malaysia,Labuan,50,9066,3926,3695,188,24,22,17,11,26,22,40,38,36,25,54,117,16,66,72,103,33,25,18,30,27,35,33,17
Malaysia,Labuan,75,9066,3014,2883,188,22,19,15,10,24,19,36,35,32,23,49,106,13,51,54,69,25,19,9,19,19,24,25,13
Malaysia,Melaka,0,165404,165404,165404,12986,3669,2870,1285,1278,3845,1811,3389,2022,3314,520,3177,2625,1536,5471,3348,5965,4819,4360,4385,3303,3332,2277,2802,2926
Malaysia,Melaka,10,165404,117338,113366,12986,3631,2841,1278,1271,3829,1805,3377,2016,3306,519,3164,2563,1421,5085,3148,5404,4442,3996,3901,2879,2814,1765,2094,2185
Malaysia,Melaka,15,165404,115661,111869,12986,3620,2834,1276,1270,3824,1805,3374,2015,3303,519,3161,2557,1415,5065,3140,5379,4425,3974,3870,2855,2795,1742,2053,2158
Malaysia,Melaka,20,165404,114475,110563,12986,3608,2824,1273,1268,3816,1802,3370,2013,3300,519,3160,2555,1411,5048,3132,5359,4408,3958,3845,2835,2781,1720,2021,2131
Malaysia,Melaka,25,165404,113794,109490,12986,3602,2820,1273,1267,3815,1802,3369,2013,3299,519,3158,2552,1408,5037,3127,5350,4401,3947,3834,2827,2773,1712,2010,2121
Malaysia,Melaka,30,165404,112675,108610,12986,3593,2814,1272,1267,3810,1802,3366,2012,3297,519,3157,2548,1403,5024,3121,5325,4385,3933,3817,2812,2757,1696,1988,2103
Malaysia,Melaka,50,165404,106873,102385,12986,3530,2756,1253,1252,3765,1788,3337,1992,3270,514,3142,2519,1374,4936,3079,5210,4301,3838,3708,2724,2677,1601,1878,2000
Malaysia,Melaka,75,165404,88815,85394,12986,3100,2380,1095,1135,3394,1654,3121,1830,3047,490,3032,2372,1230,4533,2883,4660,3838,3358,3139,2330,2320,1286,1504,1605
Malaysia,Negeri Sembilan,0,666738,666738,666738,41199,22646,25137,7392,9037,12835,7540,10209,8401,17303,5534,15952,24812,11291,19489,11125,18276,14923,11891,11620,8243,8377,6600,8547,8549
Malaysia,Negeri Sembilan,10,666738,570930,543071,41199,22543,25024,7365,8985,12779,7517,10186,8392,17271,5527,15903,24636,10973,18456,10544,16875,13823,10739,9906,6710,6318,5200,6111,6168
Malaysia,Negeri Sembilan,15,666738,567095,538482,41199,22506,25000,7357,8971,12761,7513,10181,8389,17264,5524,15899,24616,10955,18402,10517,16798,13757,10674,9838,6642,6238,5138,6027,6056
Malaysia,Negeri Sembilan,20,666738,564138,534112,41199,22469,24965,7345,8957,12737,7505,10176,8387,17257,5521,15894,24604,10939,18355,10495,16736,13684,10616,9759,6583,6169,5078,5937,5954
Malaysia,Negeri Sembilan,25,666738,562530,530989,41199,22457,24947,7340,8946,12731,7502,10174,8386,17254,5521,15892,24595,10931,18329,10482,16702,13657,10586,9729,6552,6140,5052,5908,5916
Malaysia,Negeri Sembilan,30,666738,559821,527969,41199,22431,24928,7334,8938,12717,7498,10172,8384,17249,5520,15889,24583,10915,18281,10459,16640,13602,10540,9672,6491,6086,5008,5854,5846
Malaysia,Negeri Sembilan,50,666738,544976,505319,41199,22151,24667,7243,8796,12538,7422,10105,8351,17179,5496,15853,24470,10830,18036,10329,16315,13311,10276,9391,6226,5783,4770,5535,5399
Malaysia,Negeri Sembilan,75,666738,487265,440610,41199,19564,22015,6157,7704,10960,6812,9463,8035,16548,5278,15482,23765,10313,16715,9576,14483,11742,8962,7953,5054,4590,3796,4316,3948
Malaysia,Pahang,0,3585239,3585239,3585239,117175,48491,59025,27207,45679,61791,45114,44128,34158,55499,57083,57940,94404,43719,89904,64791,104379,74405,62746,59680,44639,47470,39086,52169,46361
Malaysia,Pahang,10,3585239,3327704,3244745,117175,47923,58484,27063,45307,61593,45016,44053,34091,55394,57011,57784,93854,42762,87334,63097,100731,72208,60331,57164,41397,44476,34773,45892,39385
Malaysia,Pahang,15,3585239,3316955,3230111,117175,47803,58391,27040,45244,61540,44996,44037,34079,55376,57000,57767,93785,42702,87171,62993,100492,72066,60189,57010,41248,44305,34593,45555,39091
Malaysia,Pahang,20,3585239,3308546,3218621,117175,47669,58259,27004,45153,61482,44973,44018,34067,55358,56987,57750,93728,42651,87003,62906,100307,71964,60061,56886,41122,44152,34430,45292,38807
Malaysia,Pahang,25,3585239,3303635,3209171,117175,47601,58178,26984,45106,61457,44957,44010,34063,55349,56978,57740,93695,42620,86910,62849,100179,71898,59995,56807,41055,44075,34348,45151,38671
Malaysia,Pahang,30,3585239,3295418,3199024,117175,47473,58056,26962,45058,61428,44941,43997,34052,55336,56968,57724,93639,42559,86752,62751,99967,71777,59870,56671,40948,43940,34213,44907,38448
Malaysia,Pahang,50,3585239,3249608,3131035,117175,46503,57121,26698,44548,61008,44720,43838,33918,55136,56810,57573,93186,42191,85776,62189,98687,71070,59140,55917,40328,43230,33552,43718,37290
Malaysia,Pahang,75,3585239,3063048,2947338,117175,41297,52353,23800,41326,57558,43228,42468,32815,53519,55562,56616,90658,40038,80786,58787,91968,67211,55244,52015,37245,38931,30107,37949,31775
Malaysia,Perak,0,2091103,2091103,2091103,67955,16679,21137,9688,14738,19812,12189,20033,16843,29728,27248,21533,25738,18357,35570,25245,36080,33527,25704,25298,18457,22432,16316,23518,20393
Malaysia,Perak,10,2091103,1795105,1776303,67955,16416,20911,9581,14615,19704,12135,19962,16803,29660,27209,21490,25489,17886,34233,24151,33515,30907,23356,22800,16026,19649,13388,18219,15517
Malaysia,Perak,15,2091103,1785061,1763203,67955,16369,20871,9559,14592,19681,12125,19947,16793,29646,27199,21481,25458,17851,34131,24089,33351,30771,23232,22674,15918,19510,13258,18018,15318
Malaysia,Perak,20,2091103,1778836,1758031,67955,16319,20834,9542,14577,19662,12118,19936,16787,29634,27195,21476,25440,17826,34060,24041,33228,30670,23132,22585,15830,19420,13169,17839,15165
Malaysia,Perak,25,2091103,1774695,1751151,67955,16291,20810,9527,14562,19651,12114,19930,16782,29627,27190,21473,25421,17807,34014,24015,33158,30609,23080,22528,15786,19367,13117,17756,15086
Malaysia,Perak,30,2091103,1766052,1743679,67955,16246,20779,9510,14547,19636,12108,19920,16776,29618,27183,21467,25398,17761,33901,23936,32984,30468,22953,22414,15675,19237,13019,17572,14915
Malaysia,Perak,50,2091103,1728914,1698516,67955,15928,20400,9319,14364,19438,12012,19806,16701,29480,27100,21406,25213,17552,33399,23605,32227,29839,22412,21876,15203,18664,12566,16794,14205
Malaysia,Perak,75,2091103,1603866,1580229,67955,14214,18181,8048,13176,18037,11308,18613,15962,28287,26316,20917,24215,16430,30827,22001,29058,26882,19874,19144,13162,16278,10626,13780,11525
Malaysia,Perlis,0,82352,82352,82352,4736,299,196,60,122,244,89,91,117,277,175,400,665,476,845,328,874,631,450,1231,864,287,420,1091,1714
Malaysia,Perlis,10,82352,29310,24720,4736,267,179,57,114,229,81,86,113,251,172,397,639,384,540,267,736,570,405,1164,727,228,197,238,308
Malaysia,Perlis,15,82352,28647,23976,4736,264,176,57,113,227,81,85,111,249,171,397,638,380,530,265,729,566,402,1158,721,225,195,232,297
Malaysia,Perlis,20,82352,28308,23512,4736,262,175,56,112,224,80,83,110,245,171,396,638,379,523,263,724,563,399,1156,716,223,194,227,284
Malaysia,Perlis,25,82352,28044,22857,4736,260,174,55,112,224,80,83,110,243,170,396,638,378,519,262,722,562,398,1156,714,222,193,225,279
Malaysia,Perlis,30,82352,27366,22508,4736,259,173,55,112,222,79,83,110,241,170,396,638,373,508,258,714,557,394,1151,704,217,190,218,267
Malaysia,Perlis,50,82352,25597,20248,4736,219,146,53,100,203,74,77,102,215,168,393,634,363,475,246,691,539,379,1137,682,204,179,198,230
Malaysia,Perlis,75,82352,19859,14961,4736,104,77,36,68,122,53,56,64,132,133,320,561,274,314,169,502,381,275,945,499,132,110,108,118
Malaysia,Pulau Pinang,0,105626,105626,105626,2737,136,447,201,428,527,605,339,344,729,953,586,719,421,1028,593,883,782,587,595,558,623,402,1154,675
Malaysia,Pulau Pinang,10,105626,49795,43598,2737,134,441,196,422,519,601,337,341,722,947,581,684,366,862,511,754,662,476,484,466,504,297,926,415
Malaysia,Pulau Pinang,15,105626,48779,42222,2737,134,440,196,421,517,600,335,340,721,946,580,679,362,850,504,745,656,470,478,462,497,291,916,405
